No.,Player,Age,Pos,G,GS,Att,RushYds,RushTD,RushLng,Y/A,RushY/G,A/G,Tgt,Rec,RecYds,Y/R,RecTD,RecLng,R/G,RecY/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,FantasyPPG,Year,YearsBack,Team
6.0,James Conner,27.0,RB,13,13.0,183.0,782.0,7,23.0,4.3,60.2,14.1,58.0,46.0,300.0,6.5,1,22.0,3.5,23.1,79.3%,5.2,229.0,4.7,1082,8,3.0,0,2022,1,crd
26.0,Eno Benjamin,23.0,RB,10,3.0,70.0,299.0,2,45.0,4.3,29.9,7.0,33.0,24.0,184.0,7.7,0,22.0,2.4,18.4,72.7%,5.6,94.0,5.1,483,2,,0,2022,1,crd
1.0,Kyler Murray,25.0,QB,11,11.0,67.0,418.0,3,42.0,6.2,38.0,6.1,,,,,0,,,,,,67.0,6.2,418,3,8.0,0,2022,1,crd
30.0,Keaontay Ingram,23.0,RB,12,0.0,27.0,60.0,1,13.0,2.2,5.0,2.3,5.0,4.0,21.0,5.3,0,24.0,0.3,1.8,80.0%,4.2,31.0,2.6,81,1,,0,2022,1,crd
24.0,Darrel Williams,27.0,RB,6,0.0,21.0,102.0,1,30.0,4.9,17.0,3.5,8.0,4.0,9.0,2.3,0,6.0,0.7,1.5,50.0%,1.1,25.0,4.4,111,1,,0,2022,1,crd
23.0,Corey Clement,28.0,RB,9,1.0,15.0,55.0,1,12.0,3.7,6.1,1.7,7.0,5.0,54.0,10.8,0,21.0,0.6,6.0,71.4%,7.7,20.0,5.5,109,1,,0,2022,1,crd
19.0,Trace McSorley,27.0,QB,6,1.0,15.0,61.0,0,14.0,4.1,10.2,2.5,,,,,0,,,,,,15.0,4.1,61,0,2.0,0,2022,1,crd
12.0,Colt McCoy,36.0,QB,4,3.0,14.0,36.0,0,9.0,2.6,9.0,3.5,,,,,0,,,,,,14.0,2.6,36,0,2.0,0,2022,1,crd
83.0,Greg Dortch,24.0,WR,16,4.0,7.0,44.0,0,20.0,6.3,2.8,0.4,64.0,52.0,467.0,9.0,2,47.0,3.3,29.2,81.3%,7.3,59.0,8.7,511,2,1.0,0,2022,1,crd
4.0,Rondale Moore,22.0,WR,8,8.0,6.0,-5.0,0,9.0,-0.8,-0.6,0.8,56.0,41.0,414.0,10.1,1,38.0,5.1,51.8,73.2%,7.4,47.0,8.7,409,1,,0,2022,1,crd
15.0,Pharoh Cooper,27.0,WR,5,1.0,4.0,15.0,0,6.0,3.8,3.0,0.8,2.0,2.0,6.0,3.0,0,3.0,0.4,1.2,100.0%,3.0,6.0,3.5,21,0,,0,2022,1,crd
17.0,David Blough,27.0,QB,2,2.0,4.0,5.0,0,4.0,1.3,2.5,2.0,,,,,0,,,,,,4.0,1.3,5,0,1.0,0,2022,1,crd
2.0,Marquise Brown,25.0,WR,12,10.0,1.0,1.0,0,1.0,1.0,0.1,0.1,107.0,67.0,709.0,10.6,3,47.0,5.6,59.1,62.6%,6.6,68.0,10.4,710,3,1.0,0,2022,1,crd
10.0,DeAndre Hopkins,30.0,WR,9,9.0,,,0,,,,,96.0,64.0,717.0,11.2,3,33.0,7.1,79.7,66.7%,7.5,64.0,11.2,717,3,2.0,0,2022,1,crd
86.0,Zach Ertz,32.0,TE,10,10.0,,,0,,,,,69.0,47.0,406.0,8.6,4,32.0,4.7,40.6,68.1%,5.9,47.0,8.6,406,4,,0,2022,1,crd
85.0,Trey McBride,23.0,TE,16,13.0,,,0,,,,,39.0,29.0,265.0,9.1,1,29.0,1.8,16.6,74.4%,6.8,29.0,9.1,265,1,1.0,0,2022,1,crd
18.0,A.J. Green,34.0,WR,15,10.0,,,0,,,,,47.0,24.0,236.0,9.8,2,77.0,1.6,15.7,51.1%,5.0,24.0,9.8,236,2,,0,2022,1,crd
3.0,Chosen Anderson,29.0,WR,10,2.0,,,0,,,,,17.0,7.0,76.0,10.9,0,21.0,0.7,7.6,41.2%,4.5,7.0,10.9,76,0,,0,2022,1,crd
82.0,Andre Baccellia,25.0,WR,8,0.0,,,0,,,,,10.0,7.0,45.0,6.4,0,11.0,0.9,5.6,70.0%,4.5,7.0,6.4,45,0,,0,2022,1,crd
89.0,Stephen Anderson,29.0,TE,16,0.0,,,0,,,,,7.0,3.0,9.0,3.0,0,6.0,0.2,0.6,42.9%,1.3,3.0,3.0,9,0,,0,2022,1,crd
87.0,Maxx Williams,28.0,TE,11,1.0,,,0,,,,,3.0,3.0,18.0,6.0,0,7.0,0.3,1.6,100.0%,6.0,3.0,6.0,18,0,,0,2022,1,crd
17.0,Andy Isabella,26.0,WR,3,0.0,,,0,,,,,5.0,2.0,21.0,10.5,0,11.0,0.7,7.0,40.0%,4.2,2.0,10.5,21,0,,0,2022,1,crd
57.0,Kamu Grugier-Hill,28.0,LB,9,0.0,,,0,,,,,1.0,1.0,4.0,4.0,0,4.0,0.1,0.4,100.0%,4.0,1.0,4.0,4,0,,0,2022,1,crd
22.0,Ty\'Son Williams,26.0,RB,1,0.0,,,0,,,,,1.0,1.0,5.0,5.0,0,5.0,1.0,5.0,100.0%,5.0,1.0,5.0,5,0,,0,2022,1,crd
,Team Total,27.1,,17,,434.0,1873.0,15,45.0,4.3,110.2,25.5,635.0,433.0,3966.0,9.2,17,77.0,25.5,233.3,68.2%,6.2,867.0,6.7,5839,32,25.0,0,2022,1,crd
,Opp Total,,,17,,446.0,2016.0,21,,4.5,118.6,26.2,,414.0,3915.0,9.5,29,,24.4,230.3,,,,,5931,50,23.0,0,2022,1,crd
